Date,Lead Source,Company,Email,Phone Number,Industry,Customer Name,Status,Lead Added By,Notes
27/08/2026,Google Search,Implementer,help@digitalhealth.gov.au,1300 901 001,IT / Software,Software Developer Contact,New,Python Scraper,Query: Software Developer Australia IT / Software email contact | Link: https://implementer.digitalhealth.gov.au/about/contact-us
27/08/2026,Google Search,Softwareco,contact@softwareco.com,,IT / Software,Software Developer Contact,New,Python Scraper,Query: Software Developer Australia IT / Software email contact | Link: https://softwareco.com/contact/
27/08/2026,Google Search,Servicesaustralia,contact@servicesaustralia.gov.au,,IT / Software,Software Developer Contact,New,Python Scraper,Query: Software Developer Australia IT / Software email contact | Link: https://www.servicesaustralia.gov.au/get-started-software-developer?context=20
27/08/2026,Google Search,Megabits,contact@megabits.com.au,07 5447 9962,IT / Software,Software Developer Contact,New,Python Scraper,Query: Software Developer Australia IT / Software email contact | Link: https://www.megabits.com.au/contact.aspx
27/08/2026,Google Search,Michaelpage,contact@michaelpage.com.au,,IT / Software,Software Developer Contact,New,Python Scraper,Query: Software Developer Australia IT / Software email contact | Link: https://www.michaelpage.com.au/jobs/software-engineer
27/08/2026,Google Search,Programs-courses,studentenquiries@eecs.uq.edu.au,+61 7 3365 1111,IT / Software,Software Developer Contact,New,Python Scraper,Query: Software Developer Australia IT / Software email contact | Link: https://programs-courses.uq.edu.au/course.html?course_code=COMP3381
27/08/2026,Google Search,Au,contact@au.seek.com,,IT / Software,Software Developer Contact,New,Python Scraper,Query: Software Developer Australia IT / Software email contact | Link: https://au.seek.com/software-developer-jobs
27/08/2026,Google Search,Workingmouse,contact@workingmouse.com.au,,IT / Software,Software Developer Contact,New,Python Scraper,Query: Software Developer Australia IT / Software email contact | Link: https://www.workingmouse.com.au/
27/08/2026,Google Search,C9,contact@c9.com.au,,IT / Software,Software Developer Contact,New,Python Scraper,Query: Software Developer Australia IT / Software email contact | Link: https://www.c9.com.au/Company/Contact
27/08/2026,Google Search,Hays,contact@hays.com.au,,IT / Software,Software Developer Contact,New,Python Scraper,Query: IT / Software Australia Software Developer phone contact | Link: https://www.hays.com.au/web/hays-au-technology/software-developer-jobs
27/08/2026,Google Search,Quantumsoftware,info@quantumsoftware.com.au,+61 2 8071 3100,IT / Software,Software Developer Contact,New,Python Scraper,Query: IT / Software Australia Software Developer phone contact | Link: https://www.quantumsoftware.com.au/contact
27/08/2026,Google Search,Hireadev,info@hireadev.com.au,0413 360 463,IT / Software,Software Developer Contact,New,Python Scraper,Query: IT / Software Australia Software Developer phone contact | Link: https://hireadev.com.au/contact
